type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,10485760,0.062268,0.056051,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054642,0.055256,10485841,0,10485760,16,0,0,65
imessage,10485760,0.079189,0.076998,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.033340,0.034262,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062401,0.058266,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054906,0.054906,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078883,0.077031,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.033151,0.034373,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061849,0.056195,10485911,16,10485760,0,70,0,65
hpke_auth,10485760,0.054303,0.055074,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078241,0.076784,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032661,0.034298,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061816,0.057147,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054154,0.055115,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078146,0.077186,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.032963,0.034085,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.063097,0.058779,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054301,0.055170,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078110,0.075976,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.032792,0.034072,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.060856,0.055928,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054481,0.054841,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078596,0.076373,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032647,0.034333,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.063373,0.055752,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054468,0.055446,10485841,0,10485760,16,0,0,65
imessage,10485760,0.079245,0.076700,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.032636,0.034420,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061784,0.055568,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054646,0.054718,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078288,0.076512,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032773,0.034284,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.063697,0.055557,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054238,0.055044,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078263,0.076250,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032659,0.034272,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061057,0.056613,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054492,0.054767,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078810,0.077010,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032713,0.036317,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062013,0.056165,10485911,16,10485760,0,70,0,65
hpke_auth,10485760,0.055856,0.054992,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077730,0.076284,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.035225,0.034671,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.063539,0.055787,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054492,0.055624,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078462,0.076892,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032869,0.034632,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062054,0.055895,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054954,0.055210,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078636,0.075808,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.033389,0.034264,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062504,0.056617,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054919,0.055218,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078235,0.076610,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.033259,0.034426,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061072,0.056311,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.055225,0.054908,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078218,0.076488,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.033371,0.034209,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061261,0.056172,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054689,0.055209,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077910,0.076562,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.032928,0.034546,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061082,0.056831,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.055549,0.054898,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078490,0.076202,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.033426,0.034269,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.063686,0.056056,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.055189,0.055839,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077945,0.077145,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.033097,0.034396,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062342,0.056747,10485911,16,10485760,0,70,0,65
hpke_auth,10485760,0.055151,0.055135,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078086,0.076136,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.033336,0.034121,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061360,0.056932,10485911,16,10485760,0,70,0,65
hpke_auth,10485760,0.054808,0.055149,10485841,0,10485760,16,0,0,65
imessage,10485760,0.079378,0.077374,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.033571,0.034375,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.060857,0.056418,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054889,0.055091,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077238,0.076439,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.033123,0.034429,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061306,0.056092,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.055935,0.055109,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077854,0.076661,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.033623,0.034234,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062758,0.056799,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054688,0.054956,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078938,0.076718,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032572,0.034268,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062336,0.057071,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054510,0.055232,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077777,0.075609,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.033299,0.034145,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062681,0.057045,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054274,0.054841,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077709,0.077169,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.032723,0.034381,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061371,0.055919,10485911,16,10485760,0,70,0,65
hpke_auth,10485760,0.054585,0.055318,10485841,0,10485760,16,0,0,65
imessage,10485760,0.077544,0.076057,10485975,16,10485760,0,71,128,0
hybrid_signcryption,10485760,0.032993,0.034030,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.061407,0.056911,10485912,16,10485760,0,71,0,65
hpke_auth,10485760,0.054196,0.055190,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078170,0.076474,10485974,16,10485760,0,70,128,0
hybrid_signcryption,10485760,0.032818,0.034160,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.062410,0.055824,10485913,16,10485760,0,72,0,65
hpke_auth,10485760,0.054387,0.054547,10485841,0,10485760,16,0,0,65
imessage,10485760,0.078209,0.075912,10485976,16,10485760,0,72,128,0
hybrid_signcryption,10485760,0.032602,0.034428,10485824,16,10485760,16,32,0,0
ecies_signature,10485760,0.060728,0.056667,10485912,16,10485760,0,71,0,65
