"type","msg_len","avg_all_len","avg_delta_len","avg_enc_time","avg_dec_time"
"ecies_signature",52428800,52428952.01,152.01,247.819361,242.210624
"hpke_auth",52428800,52428881,81,167.066993,172.379157
"hybrid_signcryption",52428800,52428863.997,63.997,144.650551,151.071057
"imessage",52428800,52429014.977,214.977,333.247968,333.545251
