"type","msg_len","avg_all_len","avg_delta_len","avg_enc_time","avg_dec_time"
"ecies_signature",10485760,10485912.01,152.01,62.044271,56.678617
"hpke_auth",10485760,10485841,81,54.771527,55.097608
"hybrid_signcryption",10485760,10485823.997,63.997,33.0661,34.291544
"imessage",10485760,10485975.037,215.037,77.478527,76.369181
