type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,1048576,0.020222,0.014954,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029873,0.028795,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020656,0.018513,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007770,0.007973,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020131,0.015165,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029621,0.028713,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020762,0.018159,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007933,0.008044,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020287,0.015233,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029246,0.028630,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020549,0.018511,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007679,0.008025,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020221,0.014940,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029614,0.029060,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020260,0.018335,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007807,0.007987,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020361,0.015077,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029292,0.028639,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020437,0.018409,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007765,0.008004,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020405,0.015235,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029437,0.029022,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020777,0.018412,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007866,0.007987,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020214,0.014820,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029518,0.028902,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020303,0.018515,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007759,0.007977,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020230,0.014932,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029423,0.028964,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020343,0.018543,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007723,0.007909,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020113,0.015371,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029547,0.028741,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020321,0.018501,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007811,0.008111,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020626,0.015007,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.030521,0.028703,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020482,0.018612,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007771,0.008033,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020190,0.015064,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029543,0.028717,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020572,0.018482,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007868,0.007940,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020273,0.015017,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029613,0.028537,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020424,0.018344,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007876,0.008006,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020201,0.015004,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029521,0.029078,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020567,0.018408,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.008025,0.008053,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020204,0.014955,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029520,0.028756,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020395,0.018791,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007828,0.007992,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020059,0.014870,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029544,0.028961,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020367,0.018090,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007879,0.007968,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019962,0.015071,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029547,0.029203,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020776,0.018575,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.008130,0.007936,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019931,0.015124,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029756,0.028766,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020361,0.018613,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007835,0.008082,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020471,0.014901,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029625,0.028755,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020821,0.018349,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007863,0.007986,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020815,0.014797,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029538,0.028902,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020582,0.018822,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007886,0.008007,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020069,0.015675,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029401,0.028481,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020587,0.018480,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007744,0.008026,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020181,0.014851,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029626,0.028676,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020568,0.018366,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007659,0.008041,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020041,0.014810,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029726,0.028822,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020537,0.018075,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007849,0.007965,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020091,0.015008,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029439,0.028849,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020726,0.018558,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007875,0.007983,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020232,0.015015,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029364,0.028571,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020649,0.018429,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007874,0.007991,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019993,0.014897,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029874,0.028877,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020541,0.018238,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007911,0.008028,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020013,0.014913,1048727,16,1048576,0,70,0,65
hpke_auth,1048576,0.029426,0.028746,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020403,0.018386,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007814,0.008000,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019957,0.014777,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029691,0.029221,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020267,0.018742,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007896,0.008046,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020077,0.014829,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029791,0.028925,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020491,0.018440,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007869,0.007993,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020107,0.015154,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029526,0.028586,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020396,0.018372,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007739,0.008229,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020268,0.015498,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029875,0.028750,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020430,0.018457,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007850,0.008078,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020049,0.014909,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029356,0.028925,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020510,0.018310,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007947,0.007962,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020605,0.014849,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029577,0.028705,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020292,0.018477,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007886,0.007950,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019992,0.015713,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029648,0.028689,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020702,0.018418,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007810,0.008110,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020534,0.014965,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029557,0.028422,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020397,0.018218,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007736,0.008045,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020368,0.015142,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029623,0.028501,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020517,0.018097,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007771,0.008112,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020549,0.014829,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029563,0.029116,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020425,0.018610,1048792,16,1048576,0,72,128,0
hybrid_signcryption,1048576,0.007751,0.008034,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.019967,0.014906,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029680,0.029347,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020485,0.018404,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007935,0.007871,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020079,0.014963,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029604,0.028823,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020822,0.018369,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007752,0.007999,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020750,0.014773,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029347,0.028626,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020500,0.018299,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007910,0.007962,1048639,16,1048576,16,31,0,0
ecies_signature,1048576,0.020153,0.015011,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029652,0.029447,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020233,0.018199,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.008088,0.007998,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020514,0.015006,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029759,0.028878,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020357,0.018209,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.008012,0.008034,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020011,0.015028,1048728,16,1048576,0,71,0,65
hpke_auth,1048576,0.029585,0.028644,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020582,0.018454,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007871,0.008031,1048639,16,1048576,16,31,0,0
ecies_signature,1048576,0.020103,0.014867,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029460,0.028777,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020618,0.018410,1048790,16,1048576,0,70,128,0
hybrid_signcryption,1048576,0.007885,0.007956,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020053,0.015422,1048729,16,1048576,0,72,0,65
hpke_auth,1048576,0.029341,0.028838,1048657,0,1048576,16,0,0,65
imessage,1048576,0.020620,0.018334,1048791,16,1048576,0,71,128,0
hybrid_signcryption,1048576,0.007911,0.007972,1048640,16,1048576,16,32,0,0
ecies_signature,1048576,0.020717,0.014988,1048728,16,1048576,0,71,0,65
