type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
hybrid_signcryption,52428800,0.143493,0.151143,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250312,0.242072,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167324,0.173863,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333697,0.333978,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.142874,0.151661,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248687,0.241582,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166143,0.172187,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332660,0.333389,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143956,0.151176,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247085,0.240457,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165333,0.172281,52428881,0,52428800,16,0,0,65
imessage,52428800,0.330795,0.333214,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143350,0.150616,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249155,0.243975,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165181,0.173484,52428881,0,52428800,16,0,0,65
imessage,52428800,0.337073,0.335231,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143079,0.152062,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249371,0.245157,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165840,0.174510,52428881,0,52428800,16,0,0,65
imessage,52428800,0.337530,0.336331,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143528,0.152594,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244687,0.239462,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167122,0.173154,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334608,0.334626,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.144932,0.151227,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249648,0.243906,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166344,0.173055,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333672,0.334251,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.144406,0.152351,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247130,0.238106,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.166653,0.172088,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332650,0.332759,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143769,0.150601,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246195,0.241507,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168390,0.172238,52428881,0,52428800,16,0,0,65
imessage,52428800,0.337916,0.333867,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.146933,0.151170,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250776,0.245492,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165974,0.171387,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332765,0.334251,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143512,0.150631,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.252185,0.244493,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166219,0.173177,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334389,0.334825,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143891,0.151824,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248558,0.238953,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165353,0.171898,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331674,0.333219,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143985,0.150273,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247867,0.241571,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.171601,0.172880,52428881,0,52428800,16,0,0,65
imessage,52428800,0.337428,0.335814,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143485,0.151553,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245945,0.244869,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165694,0.172547,52428881,0,52428800,16,0,0,65
