"msg_len","avg_sym_enc","avg_sym_dec"
10240,0.142704140828166,0.0648411682336467
102400,0.4467628,0.3560114
1048576,3.112527,3.222641
10485760,29.1361592,29.8121732
52428800,144.5374098,147.3908958
