type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
hybrid_signcryption,102400,0.005150,0.005292,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015879,0.010841,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026986,0.026067,102481,0,102400,16,0,0,65
imessage,102400,0.014518,0.012320,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005061,0.005365,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015800,0.010769,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026850,0.026095,102481,0,102400,16,0,0,65
imessage,102400,0.014485,0.012180,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005152,0.005225,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015681,0.010833,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027221,0.026386,102481,0,102400,16,0,0,65
imessage,102400,0.014240,0.012254,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005120,0.005301,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015914,0.010826,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027003,0.026380,102481,0,102400,16,0,0,65
imessage,102400,0.014329,0.012269,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005233,0.005219,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015869,0.010797,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026977,0.026072,102481,0,102400,16,0,0,65
imessage,102400,0.014280,0.012343,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005108,0.005335,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015918,0.010747,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026929,0.026039,102481,0,102400,16,0,0,65
imessage,102400,0.014268,0.012358,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005282,0.005226,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015792,0.010881,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026922,0.026083,102481,0,102400,16,0,0,65
imessage,102400,0.014525,0.012166,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005306,0.005315,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015731,0.011017,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027072,0.026317,102481,0,102400,16,0,0,65
imessage,102400,0.014272,0.012376,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005045,0.005397,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015695,0.010884,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026816,0.026480,102481,0,102400,16,0,0,65
imessage,102400,0.014316,0.012416,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005065,0.005357,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015857,0.010779,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026886,0.025883,102481,0,102400,16,0,0,65
imessage,102400,0.014462,0.012302,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005328,0.005247,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015763,0.011082,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027008,0.025942,102481,0,102400,16,0,0,65
imessage,102400,0.014312,0.012149,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005224,0.005277,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015871,0.010800,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027112,0.026036,102481,0,102400,16,0,0,65
imessage,102400,0.014453,0.012115,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005170,0.005373,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015809,0.010841,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027046,0.026332,102481,0,102400,16,0,0,65
imessage,102400,0.014316,0.012293,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005202,0.005246,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016041,0.010905,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026685,0.026069,102481,0,102400,16,0,0,65
imessage,102400,0.014511,0.012289,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005232,0.005343,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015827,0.010753,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026865,0.026169,102481,0,102400,16,0,0,65
imessage,102400,0.014439,0.012111,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005156,0.005261,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015807,0.011128,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027154,0.026282,102481,0,102400,16,0,0,65
imessage,102400,0.014395,0.012435,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005069,0.005361,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015803,0.010854,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026972,0.026247,102481,0,102400,16,0,0,65
