type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,10240,0.015358,0.010405,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026165,0.025718,10321,0,10240,16,0,0,65
imessage,10240,0.013736,0.011460,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004904,0.004833,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015469,0.010427,10393,16,10240,0,72,0,65
hpke_auth,10240,0.026102,0.025533,10321,0,10240,16,0,0,65
imessage,10240,0.013678,0.011431,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004837,0.004857,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015322,0.010362,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026088,0.025921,10321,0,10240,16,0,0,65
imessage,10240,0.013752,0.011600,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004787,0.004934,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015522,0.010322,10391,16,10240,0,70,0,65
hpke_auth,10240,0.026379,0.025707,10321,0,10240,16,0,0,65
imessage,10240,0.013570,0.011941,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004669,0.005025,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015402,0.010395,10391,16,10240,0,70,0,65
hpke_auth,10240,0.026198,0.025769,10321,0,10240,16,0,0,65
imessage,10240,0.013483,0.011684,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004687,0.005052,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015385,0.010389,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026344,0.025838,10321,0,10240,16,0,0,65
imessage,10240,0.013697,0.011438,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004853,0.004873,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015957,0.010504,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026490,0.025693,10321,0,10240,16,0,0,65
imessage,10240,0.013755,0.011417,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004763,0.004906,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015395,0.010908,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026576,0.026320,10321,0,10240,16,0,0,65
imessage,10240,0.013659,0.011443,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004821,0.004904,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015369,0.010301,10392,16,10240,0,71,0,65
hpke_auth,10240,0.027642,0.025927,10321,0,10240,16,0,0,65
imessage,10240,0.013789,0.011491,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004841,0.004927,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015274,0.010397,10393,16,10240,0,72,0,65
hpke_auth,10240,0.026318,0.025690,10321,0,10240,16,0,0,65
imessage,10240,0.013599,0.011715,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004765,0.004931,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015334,0.010321,10393,16,10240,0,72,0,65
hpke_auth,10240,0.026581,0.025732,10321,0,10240,16,0,0,65
imessage,10240,0.013533,0.011475,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004706,0.004923,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015315,0.010585,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026274,0.026709,10321,0,10240,16,0,0,65
imessage,10240,0.013621,0.011523,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004814,0.004834,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015378,0.010341,10391,16,10240,0,70,0,65
hpke_auth,10240,0.026200,0.025950,10321,0,10240,16,0,0,65
imessage,10240,0.013548,0.011674,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004697,0.004968,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015354,0.010420,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026478,0.025761,10321,0,10240,16,0,0,65
imessage,10240,0.013616,0.011526,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004774,0.004871,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015388,0.010282,10393,16,10240,0,72,0,65
hpke_auth,10240,0.026140,0.025699,10321,0,10240,16,0,0,65
imessage,10240,0.013772,0.011605,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004885,0.004837,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015468,0.010314,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026699,0.025873,10321,0,10240,16,0,0,65
imessage,10240,0.013592,0.011472,10454,16,10240,0,70,128,0
hybrid_signcryption,10240,0.004842,0.004843,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015283,0.010368,10391,16,10240,0,70,0,65
hpke_auth,10240,0.026039,0.028523,10321,0,10240,16,0,0,65
imessage,10240,0.013619,0.011419,10455,16,10240,0,71,128,0
hybrid_signcryption,10240,0.004954,0.004872,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015494,0.010275,10393,16,10240,0,72,0,65
hpke_auth,10240,0.026333,0.026103,10321,0,10240,16,0,0,65
imessage,10240,0.013686,0.011567,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004795,0.004843,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015369,0.010650,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026424,0.025581,10321,0,10240,16,0,0,65
imessage,10240,0.013570,0.011710,10456,16,10240,0,72,128,0
hybrid_signcryption,10240,0.004743,0.005025,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015423,0.010365,10392,16,10240,0,71,0,65
hpke_auth,10240,0.026336,0.025953,10321,0,10240,16,0,0,65
imessage,10240,0.013635,0.011778,10454,16,10240,0,70,128,0
hybrid_signcryption,10240,0.004766,0.004914,10304,16,10240,16,32,0,0
ecies_signature,10240,0.015256,0.010248,10392,16,10240,0,71,0,65
