"type","msg_len","avg_all_len","avg_delta_len","avg_enc_time","avg_dec_time"
"ecies_signature",1048576,1048728.022,152.022,20.149188,14.980259
"hpke_auth",1048576,1048657,81,29.609578,28.904747
"hybrid_signcryption",1048576,1048639.993,63.993,7.859454,8.051197
"imessage",1048576,1048790.966,214.966,20.304723,18.057544
